Artikelen                                ,FIELD2  ,FIELD3                     ,FIELD4,FIELD5    ,FIELD6      ,FIELD7      ,FIELD8  ,FIELD9    ,FIELD10           ,FIELD11       ,FIELD12      ,FIELD13
Tijdstip geëxporteerd: 11-9-2018 10:57:49,        ,                           ,      ,          ,            ,            ,        ,          ,                  ,              ,             ,
A.Omschrijving                           ,A.Nummer,Tekst                      ,Aantal,Prijs     ,Bedrag incl.,Bedrag excl.,BTW-code,BTW-tarief,Kortingspercentage,Kortingsbedrag,Omzetgroepnr.,Omzetgroep
Amstel bier FW                           ,407     ,Amstel bier FW             ,224   ,"2,50"    ,"555,00"    ,"458,84"    ,2       ,21%       ,"0,00"            ,"0,00"        ,34           ,Drank hoog feestweek
Wieckse rosé FW                          ,408     ,Wieckse rosé FW            ,6     ,"3,00"    ,"18,00"     ,"14,88"     ,2       ,21%       ,"0,00"            ,"0,00"        ,34           ,Drank hoog feestweek
Radler FW                                ,409     ,Radler FW                  ,7     ,"3,00"    ,"15,00"     ,"12,40"     ,2       ,21%       ,"0,00"            ,"0,00"        ,34           ,Drank hoog feestweek
Heineken 0.0 FW                          ,410     ,Heineken 0.0 FW            ,7     ,"3,00"    ,"21,00"     ,"19,81"     ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Jillz FW                                 ,411     ,Jillz FW                   ,1     ,"3,00"    ,"3,00"      ,"2,48"      ,2       ,21%       ,"0,00"            ,"0,00"        ,34           ,Drank hoog feestweek
Bacardi Cola FW                          ,414     ,Bacardi Cola FW            ,1     ,"5,50"    ,"5,50"      ,"4,55"      ,2       ,21%       ,"0,00"            ,"0,00"        ,34           ,Drank hoog feestweek
Wijn wit zoet glas FW                    ,416     ,Wijn wit zoet glas FW      ,2     ,"3,50"    ,"7,00"      ,"5,78"      ,2       ,21%       ,"0,00"            ,"0,00"        ,34           ,Drank hoog feestweek
Wijn wit droog glas FW                   ,417     ,Wijn wit droog glas FW     ,54    ,"3,50"    ,"189,00"    ,"156,17"    ,2       ,21%       ,"0,00"            ,"0,00"        ,34           ,Drank hoog feestweek
Wijn rosé glas FW                        ,418     ,Wijn rosé glas FW          ,13    ,"3,50"    ,"45,50"     ,"37,58"     ,2       ,21%       ,"0,00"            ,"0,00"        ,34           ,Drank hoog feestweek
Wijn rood glas FW                        ,419     ,Wijn rood glas FW          ,24    ,"3,50"    ,"84,00"     ,"69,42"     ,2       ,21%       ,"0,00"            ,"0,00"        ,34           ,Drank hoog feestweek
Prosecco glas FW                         ,420     ,Prosecco glas FW           ,2     ,"3,50"    ,"7,00"      ,"5,78"      ,2       ,21%       ,"0,00"            ,"0,00"        ,34           ,Drank hoog feestweek
Wijn wit Montespina fles FW              ,422     ,Wijn wit Montespina fles FW,9     ,"26,00"   ,"234,00"    ,"193,41"    ,2       ,21%       ,"0,00"            ,"0,00"        ,34           ,Drank hoog feestweek
Rosé La Plume fles FW                    ,425     ,Rosé La Plume fles FW      ,1     ,"20,00"   ,"20,00"     ,"16,53"     ,2       ,21%       ,"0,00"            ,"0,00"        ,34           ,Drank hoog feestweek
Wijn rood Purato fles FW                 ,429     ,Wijn rood Purato fles FW   ,1     ,"26,00"   ,"26,00"     ,"21,49"     ,2       ,21%       ,"0,00"            ,"0,00"        ,34           ,Drank hoog feestweek
Koffie FW                                ,431     ,Koffie FW                  ,15    ,"2,20"    ,"28,60"     ,"27,02"     ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Espresso FW                              ,432     ,Espresso FW                ,2     ,"2,20"    ,"4,40"      ,"4,15"      ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Cappucino FW                             ,433     ,Cappucino FW               ,20    ,"2,50"    ,"50,00"     ,"47,20"     ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Thee FW                                  ,434     ,Thee FW                    ,2     ,"2,20"    ,"4,40"      ,"4,15"      ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
Brood kruidenboter FW                    ,435     ,Brood kruidenboter FW      ,6     ,"3,50"    ,"21,00"     ,"19,80"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Watermeloen & feta FW                    ,437     ,Watermeloen & feta FW      ,1     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Watermeloen & feta FW                    ,437     ,Watermeloen & feta FW      ,3     ,"7,50"    ,"22,50"     ,"21,24"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Garnalenkroketjes FW                     ,438     ,Garnalenkroketjes FW       ,10    ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Garnalenkroketjes FW                     ,438     ,Garnalenkroketjes FW       ,11    ,"7,50"    ,"78,36"     ,"73,94"     ,1       ,6%        ,"0,00"            ,"4,14"        ,35           ,Keuken feestweek
Carpaccio FW                             ,439     ,Carpaccio FW               ,20    ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Carpaccio FW                             ,439     ,Carpaccio FW               ,20    ,"7,50"    ,"147,93"    ,"139,60"    ,1       ,6%        ,"0,00"            ,"2,07"        ,35           ,Keuken feestweek
Geitenkaas salade FW                     ,440     ,Geitenkaas salade FW       ,2     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Geitenkaas salade FW                     ,440     ,Geitenkaas salade FW       ,12    ,"7,50"    ,"88,97"     ,"83,98"     ,1       ,6%        ,"0,00"            ,"1,03"        ,35           ,Keuken feestweek
Tomatensoep FW                           ,441     ,Tomatensoep FW             ,2     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Tomatensoep FW                           ,441     ,Tomatensoep FW             ,8     ,"7,50"    ,"60,00"     ,"56,64"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Saté FW                                  ,442     ,Saté FW                    ,6     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Saté FW                                  ,442     ,Saté FW                    ,50    ,"16,50"   ,"815,90"    ,"769,77"    ,1       ,6%        ,"0,00"            ,"9,10"        ,35           ,Keuken feestweek
Kabeljauw FW                             ,443     ,Kabeljauw FW               ,2     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Kabeljauw FW                             ,443     ,Kabeljauw FW               ,11    ,"16,50"   ,"181,50"    ,"171,25"    ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Biefstuk FW                              ,444     ,Biefstuk FW                ,18    ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Biefstuk FW                              ,444     ,Biefstuk FW                ,36    ,"16,50"   ,"587,17"    ,"554,02"    ,1       ,6%        ,"0,00"            ,"6,83"        ,35           ,Keuken feestweek
Ravioli FW                               ,445     ,Ravioli FW                 ,3     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Ravioli FW                               ,445     ,Ravioli FW                 ,25    ,"16,50"   ,"412,50"    ,"389,18"    ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Zalmfilet FW                             ,446     ,Zalmfilet FW               ,5     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Zalmfilet FW                             ,446     ,Zalmfilet FW               ,14    ,"16,50"   ,"231,00"    ,"217,96"    ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Varkenshaas FW                           ,447     ,Varkenshaas FW             ,1     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Varkenshaas FW                           ,447     ,Varkenshaas FW             ,13    ,"16,50"   ,"214,50"    ,"202,39"    ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Creme Brulee FW                          ,448     ,Creme Brulee FW            ,8     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Creme Brulee FW                          ,448     ,Creme Brulee FW            ,6     ,"5,00"    ,"28,62"     ,"27,01"     ,1       ,6%        ,"0,00"            ,"1,38"        ,35           ,Keuken feestweek
Hugosorbet FW                            ,449     ,Hugosorbet FW              ,12    ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Hugosorbet FW                            ,449     ,Hugosorbet FW              ,6     ,"5,00"    ,"28,62"     ,"27,01"     ,1       ,6%        ,"0,00"            ,"1,38"        ,35           ,Keuken feestweek
Flensje FW                               ,450     ,Flensje FW                 ,12    ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Flensje FW                               ,450     ,Flensje FW                 ,6     ,"5,00"    ,"27,93"     ,"26,35"     ,1       ,6%        ,"0,00"            ,"2,07"        ,35           ,Keuken feestweek
Kaas FW                                  ,451     ,Kaas FW                    ,3     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Kaas FW                                  ,451     ,Kaas FW                    ,2     ,"5,00"    ,"10,00"     ,"9,44"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Fruitcocktail kids FW                    ,452     ,Fruitcocktail kids FW      ,1     ,"4,00"    ,"4,00"      ,"3,77"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Tomatensoep kids FW                      ,453     ,Tomatensoep kids FW        ,2     ,"4,00"    ,"8,00"      ,"7,54"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Kipnuggets FW                            ,454     ,Kipnuggets FW              ,9     ,"7,00"    ,"63,00"     ,"59,41"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Fricandel FW                             ,455     ,Fricandel FW               ,4     ,"7,00"    ,"28,00"     ,"26,40"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Hamburger FW                             ,456     ,Hamburger FW               ,2     ,"7,00"    ,"14,00"     ,"13,20"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Saté kind FW                             ,457     ,Saté kind FW               ,2     ,"9,50"    ,"19,00"     ,"17,92"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Zalm kind FW                             ,458     ,Zalm kind FW               ,2     ,"9,50"    ,"19,00"     ,"17,92"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
3-gangen menu feestweek                  ,459     ,3-gangen menu feestweek    ,7     ,"0,00"    ,"0,00"      ,"0,00"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
3-gangen menu feestweek                  ,459     ,3-gangen menu feestweek    ,35    ,"25,00"   ,"875,00"    ,"825,32"    ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Bitterballen FW                          ,461     ,Bitterballen FW            ,5     ,"5,00"    ,"25,00"     ,"23,59"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Kaas Kroketjes FW                        ,462     ,Kaas Kroketjes FW          ,7     ,"5,00"    ,"35,00"     ,"33,04"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Luxe Borrel Boordje FW                   ,463     ,Luxe Borrel Boordje FW     ,10    ,"7,50"    ,"75,00"     ,"70,78"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Diversen keuken FW                       ,464     ,Diversen keuken FW         ,2     ,"1,50"    ,"3,00"      ,"2,84"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Diversen keuken FW                       ,464     ,Diversen keuken FW         ,2     ,"3,50"    ,"7,00"      ,"6,60"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Diversen keuken FW                       ,464     ,Diversen keuken FW         ,2     ,"5,00"    ,"10,00"     ,"9,44"      ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Diversen keuken FW                       ,464     ,Diversen keuken FW         ,1     ,"14,50"   ,"14,50"     ,"13,68"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Appelgebak FW                            ,466     ,Appelgebak FW              ,8     ,"3,50"    ,"28,00"     ,"26,42"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
Appelgebak + koffie FW                   ,467     ,Appelgebak + koffie FW     ,5     ,"5,00"    ,"25,00"     ,"23,58"     ,1       ,6%        ,"0,00"            ,"0,00"        ,35           ,Keuken feestweek
7up FW                                   ,468     ,7up FW                     ,5     ,"2,50"    ,"12,50"     ,"11,80"     ,1       ,6%        ,"0,00"            ,"0,00"        ,33           ,Drank laag feestweek
                                         ,        ,                           ,14.190,          ,"115.001,70","105.503,26",        ,          ,                  ,"28,00"       ,             ,
