Artikelen                                ,FIELD2  ,FIELD3                     ,FIELD4,FIELD5    ,FIELD6      ,FIELD7      ,FIELD8  ,FIELD9    ,FIELD10           ,FIELD11       ,FIELD12      ,FIELD13
Tijdstip geëxporteerd: 11-9-2018 10:57:49,        ,                           ,      ,          ,            ,            ,        ,          ,                  ,              ,             ,
A.Omschrijving                           ,A.Nummer,Tekst                      ,Aantal,Prijs     ,Bedrag incl.,Bedrag excl.,BTW-code,BTW-tarief,Kortingspercentage,Kortingsbedrag,Omzetgroepnr.,Omzetgroep
Cointreau                                ,120     ,Cointreau                  ,17    ,"5,00"    ,"85,00"     ,"70,22"     ,2       ,21%       ,"0,00"            ,"0,00"        ,11           ,Likeur Meierij
Drambuie                                 ,121     ,Drambuie                   ,7     ,"5,00"    ,"35,00"     ,"28,91"     ,2       ,21%       ,"0,00"            ,"0,00"        ,11           ,Likeur Meierij
Bailey's                                 ,122     ,Bailey's                   ,3     ,"5,00"    ,"15,00"     ,"12,39"     ,2       ,21%       ,"0,00"            ,"0,00"        ,11           ,Likeur Meierij
43 licor                                 ,123     ,43 licor                   ,9     ,"5,00"    ,"45,00"     ,"37,17"     ,2       ,21%       ,"0,00"            ,"0,00"        ,11           ,Likeur Meierij
Sambuca                                  ,124     ,Sambuca                    ,7     ,"5,00"    ,"35,00"     ,"28,91"     ,2       ,21%       ,"0,00"            ,"0,00"        ,11           ,Likeur Meierij
Dom benedictine                          ,125     ,Dom benedictine            ,3     ,"5,00"    ,"15,00"     ,"12,39"     ,2       ,21%       ,"0,00"            ,"0,00"        ,11           ,Likeur Meierij
Limoncello                               ,126     ,Limoncello                 ,6     ,"5,00"    ,"30,00"     ,"24,78"     ,2       ,21%       ,"0,00"            ,"0,00"        ,11           ,Likeur Meierij
Port                                     ,137     ,Port                       ,59    ,"4,25"    ,"250,75"    ,"207,11"    ,2       ,21%       ,"0,00"            ,"0,00"        ,13           ,Zuidwijn Meierij
Port oud                                 ,138     ,Port oud                   ,13    ,"5,50"    ,"71,50"     ,"59,13"     ,2       ,21%       ,"0,00"            ,"0,00"        ,13           ,Zuidwijn Meierij
Sherry                                   ,139     ,Sherry                     ,10    ,"4,25"    ,"42,50"     ,"35,10"     ,2       ,21%       ,"0,00"            ,"0,00"        ,13           ,Zuidwijn Meierij
Martini                                  ,140     ,Martini                    ,3     ,"4,25"    ,"12,75"     ,"10,53"     ,2       ,21%       ,"0,00"            ,"0,00"        ,13           ,Zuidwijn Meierij
Joseph guy                               ,145     ,Joseph guy                 ,3     ,"5,50"    ,"16,50"     ,"13,64"     ,2       ,21%       ,"0,00"            ,"0,00"        ,15           ,Cognac Meierij
Courvoisier                              ,146     ,Courvoisier                ,4     ,"5,50"    ,"22,00"     ,"18,20"     ,2       ,21%       ,"0,00"            ,"0,00"        ,15           ,Cognac Meierij
Remy martin vsop                         ,148     ,Remy martin vsop           ,6     ,"6,50"    ,"39,00"     ,"32,22"     ,2       ,21%       ,"0,00"            ,"0,00"        ,15           ,Cognac Meierij
Armagnac                                 ,149     ,Armagnac                   ,3     ,"5,50"    ,"16,50"     ,"13,64"     ,2       ,21%       ,"0,00"            ,"0,00"        ,15           ,Cognac Meierij
Calvados                                 ,150     ,Calvados                   ,4     ,"5,50"    ,"22,00"     ,"18,20"     ,2       ,21%       ,"0,00"            ,"0,00"        ,15           ,Cognac Meierij
Grappa                                   ,151     ,Grappa                     ,1     ,"5,50"    ,"5,50"      ,"4,55"      ,2       ,21%       ,"0,00"            ,"0,00"        ,15           ,Cognac Meierij
